,type,details,baseline,threshold_pct,precision,recall,auc,train_set_num,train_start,test_start
73,Dtree,"criteria: gini, depth: 10, min_leaf: 300, seed: 12345",0.7430825242718446,10,0.7487864077669902,0.10076759758288421,0.5014938601990944,1,2012-01-01,2012-07-01
74,Dtree,"criteria: gini, depth: 10, min_leaf: 300, seed: 12345",0.7430825242718446,20,0.7459041262135923,0.2007594316511514,0.5014779680693168,1,2012-01-01,2012-07-01
75,Dtree,"criteria: gini, depth: 10, min_leaf: 300, seed: 12345",0.7430825242718446,30,0.7444377022653722,0.3005471174260983,0.5010647726950992,1,2012-01-01,2012-07-01
76,Dtree,"criteria: gini, depth: 10, min_leaf: 300, seed: 12345",0.7430825242718446,50,0.7413834951456311,0.4988567695574065,0.4977751018311359,1,2012-01-01,2012-07-01
77,Dtree,"criteria: gini, depth: 10, min_leaf: 500, seed: 12345",0.7430825242718446,1,0.9,0.01212640862322391,0.5041146922662648,1,2012-01-01,2012-07-01
78,Dtree,"criteria: gini, depth: 10, min_leaf: 500, seed: 12345",0.7430825242718446,2,0.8163884673748103,0.02196635636126082,0.5038386340143574,1,2012-01-01,2012-07-01
79,Dtree,"criteria: gini, depth: 10, min_leaf: 500, seed: 12345",0.7430825242718446,5,0.7621359223300971,0.05128205128205128,0.5024950643750833,1,2012-01-01,2012-07-01
80,Dtree,"criteria: gini, depth: 10, min_leaf: 500, seed: 12345",0.7430825242718446,10,0.7481796116504854,0.1006859382655561,0.5013349389013184,1,2012-01-01,2012-07-01
81,Dtree,"criteria: gini, depth: 10, min_leaf: 500, seed: 12345",0.7430825242718446,20,0.7465109223300971,0.2009227502858076,0.5017958106648688,1,2012-01-01,2012-07-01
82,Dtree,"criteria: gini, depth: 10, min_leaf: 500, seed: 12345",0.7430825242718446,30,0.7458535598705501,0.3011187326473951,0.5021772217795313,1,2012-01-01,2012-07-01
83,Dtree,"criteria: gini, depth: 10, min_leaf: 500, seed: 12345",0.7430825242718446,50,0.7413834951456311,0.4988567695574065,0.4977751018311359,1,2012-01-01,2012-07-01
84,Dtree,"criteria: gini, depth: 20, min_leaf: 100, seed: 12345",0.7430825242718446,1,0.9424242424242424,0.01269802384452066,0.5052271413506968,1,2012-01-01,2012-07-01
85,Dtree,"criteria: gini, depth: 20, min_leaf: 100, seed: 12345",0.7430825242718446,2,0.8254931714719271,0.02221133431324514,0.5043153979076854,1,2012-01-01,2012-07-01
86,Dtree,"criteria: gini, depth: 20, min_leaf: 100, seed: 12345",0.7430825242718446,5,0.7694174757281553,0.051772007186019924,0.5034485921617393,1,2012-01-01,2012-07-01
87,Dtree,"criteria: gini, depth: 20, min_leaf: 100, seed: 12345",0.7430825242718446,10,0.7539441747572816,0.10146170178017312,0.5028446912301905,1,2012-01-01,2012-07-01
88,Dtree,"criteria: gini, depth: 20, min_leaf: 100, seed: 12345",0.7430825242718446,20,0.7489381067961165,0.20157602482443246,0.5030671810470769,1,2012-01-01,2012-07-01
89,Dtree,"criteria: gini, depth: 20, min_leaf: 100, seed: 12345",0.7430825242718446,30,0.7454490291262136,0.30095541401273884,0.5018593791839793,1,2012-01-01,2012-07-01
90,Dtree,"criteria: gini, depth: 20, min_leaf: 100, seed: 12345",0.7430825242718446,50,0.741504854368932,0.4989384288747346,0.497934023128912,1,2012-01-01,2012-07-01
91,Dtree,"criteria: gini, depth: 20, min_leaf: 300, seed: 12345",0.7430825242718446,1,0.9,0.01212640862322391,0.5041146922662648,1,2012-01-01,2012-07-01
92,Dtree,"criteria: gini, depth: 20, min_leaf: 300, seed: 12345",0.7430825242718446,2,0.8103186646433991,0.021803037726604607,0.5035207914188053,1,2012-01-01,2012-07-01
93,Dtree,"criteria: gini, depth: 20, min_leaf: 300, seed: 12345",0.7430825242718446,5,0.7597087378640777,0.05111873264739507,0.5021772217795312,1,2012-01-01,2012-07-01
94,Dtree,"criteria: gini, depth: 20, min_leaf: 300, seed: 12345",0.7430825242718446,10,0.7487864077669902,0.10076759758288421,0.5014938601990944,1,2012-01-01,2012-07-01
95,Dtree,"criteria: gini, depth: 20, min_leaf: 300, seed: 12345",0.7430825242718446,20,0.7459041262135923,0.2007594316511514,0.5014779680693168,1,2012-01-01,2012-07-01
96,Dtree,"criteria: gini, depth: 20, min_leaf: 300, seed: 12345",0.7430825242718446,30,0.7444377022653722,0.3005471174260983,0.5010647726950992,1,2012-01-01,2012-07-01
97,Dtree,"criteria: gini, depth: 20, min_leaf: 300, seed: 12345",0.7430825242718446,50,0.7413834951456311,0.4988567695574065,0.4977751018311359,1,2012-01-01,2012-07-01
98,Dtree,"criteria: gini, depth: 20, min_leaf: 500, seed: 12345",0.7430825242718446,1,0.9,0.01212640862322391,0.5041146922662648,1,2012-01-01,2012-07-01
99,Dtree,"criteria: gini, depth: 20, min_leaf: 500, seed: 12345",0.7430825242718446,2,0.8163884673748103,0.02196635636126082,0.5038386340143574,1,2012-01-01,2012-07-01
100,Dtree,"criteria: gini, depth: 20, min_leaf: 500, seed: 12345",0.7430825242718446,5,0.7621359223300971,0.05128205128205128,0.5024950643750833,1,2012-01-01,2012-07-01
101,Dtree,"criteria: gini, depth: 20, min_leaf: 500, seed: 12345",0.7430825242718446,10,0.7481796116504854,0.1006859382655561,0.5013349389013184,1,2012-01-01,2012-07-01
102,Dtree,"criteria: gini, depth: 20, min_leaf: 500, seed: 12345",0.7430825242718446,20,0.7465109223300971,0.2009227502858076,0.5017958106648688,1,2012-01-01,2012-07-01
103,Dtree,"criteria: gini, depth: 20, min_leaf: 500, seed: 12345",0.7430825242718446,30,0.7458535598705501,0.3011187326473951,0.5021772217795313,1,2012-01-01,2012-07-01
104,Dtree,"criteria: gini, depth: 20, min_leaf: 500, seed: 12345",0.7430825242718446,50,0.7413834951456311,0.4988567695574065,0.4977751018311359,1,2012-01-01,2012-07-01
105,Dtree,"criteria: gini, depth: 30, min_leaf: 100, seed: 12345",0.7430825242718446,1,0.9424242424242424,0.01269802384452066,0.5052271413506968,1,2012-01-01,2012-07-01
106,Dtree,"criteria: gini, depth: 30, min_leaf: 100, seed: 12345",0.7430825242718446,2,0.8254931714719271,0.02221133431324514,0.5043153979076854,1,2012-01-01,2012-07-01
107,Dtree,"criteria: gini, depth: 30, min_leaf: 100, seed: 12345",0.7430825242718446,5,0.7694174757281553,0.051772007186019924,0.5034485921617393,1,2012-01-01,2012-07-01
108,Dtree,"criteria: gini, depth: 30, min_leaf: 100, seed: 12345",0.7430825242718446,10,0.7539441747572816,0.10146170178017312,0.5028446912301905,1,2012-01-01,2012-07-01
109,Dtree,"criteria: gini, depth: 30, min_leaf: 100, seed: 12345",0.7430825242718446,20,0.7489381067961165,0.20157602482443246,0.5030671810470769,1,2012-01-01,2012-07-01
110,Dtree,"criteria: gini, depth: 30, min_leaf: 100, seed: 12345",0.7430825242718446,30,0.7454490291262136,0.30095541401273884,0.5018593791839793,1,2012-01-01,2012-07-01
111,Dtree,"criteria: gini, depth: 30, min_leaf: 100, seed: 12345",0.7430825242718446,50,0.741504854368932,0.4989384288747346,0.497934023128912,1,2012-01-01,2012-07-01
112,Dtree,"criteria: gini, depth: 30, min_leaf: 300, seed: 12345",0.7430825242718446,1,0.9,0.01212640862322391,0.5041146922662648,1,2012-01-01,2012-07-01
113,Dtree,"criteria: gini, depth: 30, min_leaf: 300, seed: 12345",0.7430825242718446,2,0.8103186646433991,0.021803037726604607,0.5035207914188053,1,2012-01-01,2012-07-01
114,Dtree,"criteria: gini, depth: 30, min_leaf: 300, seed: 12345",0.7430825242718446,5,0.7597087378640777,0.05111873264739507,0.5021772217795312,1,2012-01-01,2012-07-01
115,Dtree,"criteria: gini, depth: 30, min_leaf: 300, seed: 12345",0.7430825242718446,10,0.7487864077669902,0.10076759758288421,0.5014938601990944,1,2012-01-01,2012-07-01
116,Dtree,"criteria: gini, depth: 30, min_leaf: 300, seed: 12345",0.7430825242718446,20,0.7459041262135923,0.2007594316511514,0.5014779680693168,1,2012-01-01,2012-07-01
