type,details,baseline,threshold_pct,precision,recall,auc,train_set_num,train_start,test_start
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,20,0.256978155,0.200047237,0.500031784,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,30,0.257989482,0.301251771,0.500842283,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,50,0.259890777,0.50578649,0.503893572,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,1,0.290909091,0.011336797,0.500891329,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,2,0.28831563,0.022437411,0.501644151,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,5,0.276092233,0.053731696,0.502510957,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,10,0.267597087,0.104156826,0.502797015,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,20,0.261680825,0.203708077,0.502495064,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,30,0.260517799,0.304204062,0.502828799,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,50,0.261468447,0.508856873,0.505959549,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,1,0.336363636,0.013108172,0.502083238,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,2,0.305007587,0.023736419,0.502518218,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,5,0.283373786,0.055148795,0.503464484,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,10,0.27184466,0.105810109,0.503909464,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,20,0.262591019,0.204416627,0.502971828,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,30,0.261225728,0.305030704,0.503385024,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 20, 'criterion': 'gini'}",0.256917476,50,0.261286408,0.508502598,0.505721167,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,1,0.236363636,0.009211148,0.499461037,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,2,0.264036419,0.020547945,0.50037278,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,5,0.264563107,0.051487955,0.501001204,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,10,0.263046117,0.102385451,0.501605105,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,20,0.258343447,0.201110061,0.50074693,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,30,0.258697411,0.302078413,0.501398507,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 100, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,50,0.260254854,0.50649504,0.504370336,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,1,0.275757576,0.010746339,0.500494025,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,2,0.270106222,0.021020312,0.500690623,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,5,0.272451456,0.053023146,0.502034193,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,10,0.266080097,0.103566368,0.502399712,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,20,0.260467233,0.202763344,0.501859379,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,30,0.259607605,0.303141238,0.502113653,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 300, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,50,0.26098301,0.50791214,0.505323863,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,1,0.354545455,0.013816722,0.502560002,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,2,0.312594841,0.024326878,0.502915521,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,5,0.286407767,0.055739254,0.503861788,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,10,0.274271845,0.106754842,0.504545149,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,20,0.263046117,0.204770902,0.50321021,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,30,0.261529126,0.305384979,0.503623406,1,1/1/12,7/1/12
Dtree,"{'random_state': 12345, 'min_samples_split': 500, 'max_depth': 30, 'criterion': 'gini'}",0.256917476,50,0.261347087,0.50862069,0.505800627,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 0.1, 'penalty': 'l1'}",0.256917476,1,0.512121212,0.019957487,0.506691956,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 0.1, 'penalty': 'l1'}",0.256917476,2,0.391502276,0.030467643,0.507047475,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 0.1, 'penalty': 'l1'}",0.256917476,5,0.314927184,0.061289561,0.507596438,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 0.1, 'penalty': 'l1'}",0.256917476,10,0.286104369,0.111360416,0.507644114,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 0.1, 'penalty': 'l1'}",0.256917476,20,0.268658981,0.209140293,0.506150254,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 0.1, 'penalty': 'l1'}",0.256917476,30,0.264360841,0.308691545,0.505848304,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 0.1, 'penalty': 'l1'}",0.256917476,50,0.262742718,0.511336797,0.507628222,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 0.1, 'penalty': 'l2'}",0.256917476,1,0.5,0.01948512,0.506374113,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 0.1, 'penalty': 'l2'}",0.256917476,2,0.385432473,0.029995276,0.506729632,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 0.1, 'penalty': 'l2'}",0.256917476,5,0.314320388,0.061171469,0.507516977,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 0.1, 'penalty': 'l2'}",0.256917476,10,0.286104369,0.111360416,0.507644114,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 0.1, 'penalty': 'l2'}",0.256917476,20,0.268962379,0.209376476,0.506309176,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 0.1, 'penalty': 'l2'}",0.256917476,30,0.264563107,0.308927728,0.506007225,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 0.1, 'penalty': 'l2'}",0.256917476,50,0.26256068,0.510982522,0.50738984,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 1.0, 'penalty': 'l1'}",0.256917476,1,0.493939394,0.019248937,0.506215192,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 1.0, 'penalty': 'l1'}",0.256917476,2,0.382397572,0.029759093,0.506570711,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 1.0, 'penalty': 'l1'}",0.256917476,5,0.313713592,0.061053377,0.507437517,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 1.0, 'penalty': 'l1'}",0.256917476,10,0.284587379,0.110769957,0.507246811,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 1.0, 'penalty': 'l1'}",0.256917476,20,0.268052184,0.208667926,0.505832412,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 1.0, 'penalty': 'l1'}",0.256917476,30,0.264563107,0.308927728,0.506007225,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 1.0, 'penalty': 'l1'}",0.256917476,50,0.26256068,0.510982522,0.50738984,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 1.0, 'penalty': 'l2'}",0.256917476,1,0.493939394,0.019248937,0.506215192,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 1.0, 'penalty': 'l2'}",0.256917476,2,0.382397572,0.029759093,0.506570711,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 1.0, 'penalty': 'l2'}",0.256917476,5,0.313713592,0.061053377,0.507437517,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 1.0, 'penalty': 'l2'}",0.256917476,10,0.286104369,0.111360416,0.507644114,1,1/1/12,7/1/12
LR,"{'random_state': 12345, 'solver': 'liblinear', 'C': 1.0, 'penalty': 'l2'}",0.256917476,20,0.267900485,0.208549835,0.505752951,1,1/1/12,7/1/12
