,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
70,"Block Group 2, Census Tract 208.02, Cook County, Illinois",28.7,591,0,0,77,82,37,13,0,98,74,28,12,11,375,1324,381,146,519,17,031,020802,2
71,"Block Group 1, Census Tract 208.02, Cook County, Illinois",38.2,399,0,0,39,0,0,0,0,0,22,12,87,43,251,1484,439,171,828,17,031,020802,1
72,"Block Group 4, Census Tract 208.02, Cook County, Illinois",38.3,386,25,27,13,21,68,13,0,0,35,22,22,87,164,1027,297,51,648,17,031,020802,4
73,"Block Group 1, Census Tract 209.01, Cook County, Illinois",31.2,862,67,36,66,27,103,53,32,119,22,27,128,97,458,2116,583,695,786,17,031,020901,1
74,"Block Group 3, Census Tract 209.01, Cook County, Illinois",31.1,748,67,30,39,42,31,71,12,77,41,88,36,84,873,1489,526,415,393,17,031,020901,3
75,"Block Group 2, Census Tract 209.01, Cook County, Illinois",32.9,293,15,8,0,36,18,24,26,34,0,34,9,36,441,430,225,106,77,17,031,020901,2
76,"Block Group 2, Census Tract 209.02, Cook County, Illinois",33.2,785,93,12,54,61,62,34,76,35,14,52,111,76,326,1804,1013,185,545,17,031,020902,2
77,"Block Group 1, Census Tract 209.02, Cook County, Illinois",43.1,804,72,72,138,37,57,62,54,45,34,45,42,62,439,1905,1124,324,447,17,031,020902,1
78,"Block Group 2, Census Tract 301.01, Cook County, Illinois",37.8,352,13,77,0,0,0,0,18,45,0,23,82,63,57,473,348,27,13,17,031,030101,2
79,"Block Group 3, Census Tract 301.01, Cook County, Illinois",41.2,641,82,66,45,63,31,37,0,122,0,115,19,43,309,750,298,452,0,17,031,030101,3
80,"Block Group 4, Census Tract 301.01, Cook County, Illinois",57.6,668,43,16,87,0,52,0,11,0,11,79,39,80,77,1020,746,90,154,17,031,030101,4
81,"Block Group 1, Census Tract 301.01, Cook County, Illinois",45.6,463,30,15,16,60,28,81,35,0,34,92,44,15,371,492,303,189,0,17,031,030101,1
82,"Block Group 3, Census Tract 301.02, Cook County, Illinois",35.8,475,57,0,22,8,27,11,42,23,9,87,20,91,82,826,361,214,103,17,031,030102,3
83,"Block Group 1, Census Tract 301.02, Cook County, Illinois",59.5,680,31,31,14,33,48,14,24,38,55,81,103,74,54,905,715,119,48,17,031,030102,1
84,"Block Group 2, Census Tract 301.02, Cook County, Illinois",34.2,658,68,79,65,135,22,13,45,99,9,37,42,25,161,738,403,152,133,17,031,030102,2
85,"Block Group 1, Census Tract 301.03, Cook County, Illinois",24.0,276,24,8,22,13,18,8,0,0,9,55,25,19,130,883,546,99,183,17,031,030103,1
86,"Block Group 2, Census Tract 301.03, Cook County, Illinois",33.4,673,109,22,45,25,32,24,80,14,35,51,53,26,157,1047,521,261,245,17,031,030103,2
87,"Block Group 2, Census Tract 301.04, Cook County, Illinois",26.6,265,37,11,6,6,59,25,7,39,25,0,11,23,127,505,246,100,124,17,031,030104,2
88,"Block Group 1, Census Tract 301.04, Cook County, Illinois",20.5,751,87,31,68,50,42,0,107,28,0,54,116,69,335,2408,1581,220,466,17,031,030104,1
89,"Block Group 4, Census Tract 302, Cook County, Illinois",52.0,752,70,16,148,11,50,0,67,0,68,25,54,74,279,1168,1142,9,14,17,031,030200,4
90,"Block Group 3, Census Tract 302, Cook County, Illinois",42.2,384,68,0,0,0,0,0,48,16,11,7,10,16,131,804,642,7,133,17,031,030200,3
91,"Block Group 1, Census Tract 302, Cook County, Illinois",44.5,734,28,0,35,31,50,90,12,50,17,75,53,122,155,1307,1135,143,0,17,031,030200,1
92,"Block Group 2, Census Tract 302, Cook County, Illinois",37.3,591,44,0,0,0,0,15,58,18,48,17,109,87,19,1240,980,159,71,17,031,030200,2
93,"Block Group 2, Census Tract 303, Cook County, Illinois",39.6,766,166,29,32,53,27,58,60,35,44,34,37,86,659,975,666,111,126,17,031,030300,2
94,"Block Group 1, Census Tract 303, Cook County, Illinois",35.6,693,11,88,28,71,58,32,60,25,26,49,78,72,617,1064,590,74,376,17,031,030300,1
95,"Block Group 2, Census Tract 304, Cook County, Illinois",37.9,494,37,7,19,19,42,19,6,27,52,13,39,70,258,847,511,180,62,17,031,030400,2
96,"Block Group 1, Census Tract 304, Cook County, Illinois",35.9,819,160,38,89,27,40,78,11,29,10,70,31,81,546,1057,774,117,137,17,031,030400,1
97,"Block Group 1, Census Tract 305, Cook County, Illinois",36.5,592,40,0,16,0,0,48,25,0,12,0,26,94,392,1133,839,48,161,17,031,030500,1
98,"Block Group 3, Census Tract 305, Cook County, Illinois",38.1,636,28,14,28,27,14,0,18,14,58,80,71,0,648,1041,933,28,15,17,031,030500,3
99,"Block Group 4, Census Tract 305, Cook County, Illinois",40.4,708,0,0,0,14,0,14,67,38,14,110,53,138,170,1182,1000,118,55,17,031,030500,4
